 Seconds,Date_Time,CO2ppm,WVppt,RefBP,TC1,TC2,Volts_6,FRB_mlmin,FRC_mlmin,Chamber,TempC,RH_pct,Light_Lux,BP_kPa,Act_1,Act_2,Act_3,Act_4,Act_5,Act_6,Act_7,Act_8,Act_9,Act_10,Act_11,Act_12,Act_13,Act_14,Act_15,Act_16,c_FRC_mlmin,c_CO2ppm,CO2_mlmin,FlyChamber1,FlyChamber2,FlyChamber3,FlyChamber4,FlyChamber5,FlyChamber6,FlyChamber7,FlyChamber8,FlyChamber9,FlyChamber10,FlyChamber11,FlyChamber12,FlyChamber13,FlyChamber14,FlyChamber15,FlyChamber16,CO2_mlminFly1,CO2_mlminFly2,CO2_mlminFly3,CO2_mlminFly4,CO2_mlminFly5,CO2_mlminFly6,CO2_mlminFly7,CO2_mlminFly8,CO2_mlminFly9,CO2_mlminFly10,CO2_mlminFly11,CO2_mlminFly12,CO2_mlminFly13,CO2_mlminFly14,CO2_mlminFly15,CO2_mlminFly16
23,62582.48,1.197,7.844,102.5523,23.7473,27.9549,2.5034,20.01,18,1,23.46,10.99,7.69,102.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.94164,3.04E-06,5.46E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.46E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,62582.48,1.2141,7.803,102.548,23.7482,27.9528,2.5042,20.09,18.09,1,23.46,10.99,7.76,102.716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.87665,3.32E-06,5.94E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,62582.48,1.2087,7.7704,102.5502,23.7478,27.9472,2.5056,19.89,17.89,1,23.46,10.99,8.51,102.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89292,3.47E-06,6.21E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,62582.48,1.1895,7.7246,102.5491,23.7647,27.9536,2.5045,19.96,18.03,1,23.46,10.99,8.15,102.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.98046,3.55E-06,6.37E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.37E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,62582.48,1.1979,7.6936,102.5514,23.7585,27.9538,2.5045,20.08,18.14,1,23.46,10.99,8.29,102.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04996,3.61E-06,6.52E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,62582.48,1.1939,7.6543,102.5573,23.7648,27.9579,2.5049,19.99,18.09,1,23.46,10.99,7.71,102.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07222,3.66E-06,6.62E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,62582.48,1.1895,7.6077,102.5528,23.7716,27.9531,2.5034,20.05,18.13,1,23.46,10.99,7.69,102.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06882,3.74E-06,6.76E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,62582.48,1.1838,7.5686,102.5528,23.7726,27.9503,2.504,20.01,18,1,23.46,10.99,7.74,102.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06635,3.83E-06,6.92E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,62582.48,1.1859,7.5263,102.5538,23.7783,27.9513,2.5033,20.05,18.07,1,23.46,10.99,7.71,102.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0739,3.90E-06,7.05E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,62582.48,1.1965,7.5031,102.5566,23.7805,27.9496,2.5034,20.02,18.05,1,23.46,10.99,8.5,102.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09005,3.96E-06,7.16E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,62582.48,1.2246,7.4834,102.5564,23.787,27.9447,2.5037,19.96,18.03,1,23.46,10.99,7.69,102.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08245,4.01E-06,7.25E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,62582.48,1.3187,7.494,102.5567,23.7939,27.9487,2.504,19.96,18.12,1,23.46,10.99,7.76,102.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07085,4.05E-06,7.32E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,62582.48,1.415,7.5426,102.559,23.7989,27.9461,2.5042,19.94,18.09,1,23.46,10.99,7.73,102.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0715,4.12E-06,7.44E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,62582.48,1.5491,7.658,102.5569,23.8013,27.9495,2.5038,20.02,18.1,1,23.46,10.99,7.69,102.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08508,4.15E-06,7.50E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,62582.48,1.6633,7.7919,102.5558,23.8095,27.9503,2.5049,20.04,18.13,1,23.46,11,7.73,102.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09233,4.21E-06,7.62E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.62E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,62582.48,1.8663,8.0954,102.5587,23.8084,27.9459,2.5051,20.02,18.07,1,23.46,11,7.75,102.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09796,4.30E-06,7.79E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,62582.48,1.9788,8.3396,102.5538,23.811,27.9476,2.5047,20.03,18.06,1,23.46,11,7.71,102.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.09434,4.29E-06,7.77E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,62582.48,2.1293,8.6854,102.5538,23.8119,27.9455,2.5039,19.92,18.02,1,23.46,11,7.83,102.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07706,4.25E-06,7.68E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,62582.48,2.2758,9.0816,102.5529,23.8158,27.9453,2.503,20.01,18.12,1,23.46,11,7.71,102.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06943,4.23E-06,7.64E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,62582.48,2.4131,9.5313,102.552,23.8259,27.9473,2.5034,20.07,18.15,1,23.56,11,7.82,102.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0527,4.22E-06,7.61E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,62582.48,2.5648,10.1282,102.5498,23.8255,27.9446,2.5033,19.93,17.99,1,23.56,11,7.74,102.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03798,4.21E-06,7.59E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,62582.48,2.6911,10.6762,102.5534,23.8237,27.9478,2.5024,20.05,18.09,1,23.56,11,7.75,102.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03846,4.13E-06,7.44E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,62582.48,2.8462,11.3656,102.5581,23.8268,27.9467,2.5031,19.94,17.93,1,23.56,11,7.69,102.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03208,4.07E-06,7.34E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,62582.48,2.9789,12.0951,102.5548,23.8308,27.9488,2.5038,19.96,18,1,23.56,11,7.69,102.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03839,4.03E-06,7.26E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,62582.48,3.0654,12.5773,102.5537,23.8284,27.9506,2.5036,20.02,18.1,1,23.56,11,8.45,102.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04381,3.91E-06,7.05E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,62582.48,3.1947,13.4595,102.5568,23.8335,27.953,2.5037,19.89,17.94,1,23.56,11,7.71,102.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03565,3.83E-06,6.91E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,62582.48,3.3135,14.2212,102.5544,23.8368,27.9466,2.504,20,18.1,1,23.56,11,7.69,102.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.02397,3.76E-06,6.77E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,62582.48,3.4481,15.1404,102.5602,23.8445,27.9445,2.5043,20.04,18.11,1,23.56,11,7.73,102.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.02945,3.69E-06,6.66E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.66E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,62582.48,3.5621,16.0789,102.5563,23.8542,27.9427,2.5041,19.95,17.99,1,23.56,11,7.82,102.719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.02337,3.65E-06,6.58E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,62582.48,3.6303,16.681,102.5562,23.8574,27.947,2.5045,20.07,18.13,1,23.56,11,7.8,102.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04646,3.55E-06,6.40E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,62582.48,3.7666,17.7633,102.5502,23.8584,27.9455,2.504,19.93,17.98,1,23.56,11,8.31,102.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04022,3.43E-06,6.19E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,62582.48,3.8537,18.6896,102.5494,23.8545,27.9503,2.504,19.9,17.93,1,23.56,11,7.71,102.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03156,3.36E-06,6.06E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.06E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,62582.48,3.9422,19.6117,102.5454,23.8589,27.9497,2.5036,19.92,17.96,1,23.56,11,8.15,102.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04464,3.30E-06,5.96E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,62582.48,4.0418,20.6972,102.5449,23.861,27.9491,2.5037,20.09,18.12,1,23.56,11,7.69,102.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03118,3.26E-06,5.88E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,62582.48,4.1154,21.5163,102.541,23.8686,27.9498,2.5034,20.05,18.1,1,23.56,11,8.45,102.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03895,3.18E-06,5.74E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.74E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,62582.48,4.1935,22.7014,102.5421,23.8754,27.9452,2.5046,20.09,18.13,1,23.56,11,7.69,102.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03898,3.13E-06,5.64E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,62582.48,4.2683,23.8392,102.5422,23.8793,27.9455,2.5049,19.93,17.95,1,23.56,11,7.69,102.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03061,3.07E-06,5.54E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,62582.48,4.3111,24.3657,102.5461,23.8854,27.9503,2.5027,19.96,18.03,1,23.56,11,7.71,102.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.05108,2.99E-06,5.40E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.40E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,62582.48,4.3657,24.7059,102.5472,23.8894,27.9526,2.5031,20.01,18.09,1,23.56,11,7.82,102.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04357,2.95E-06,5.32E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,62582.48,4.4091,24.8257,102.5461,23.8948,27.9536,2.5032,20.01,17.98,1,23.56,11,7.76,102.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.04053,2.92E-06,5.26E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,62582.48,4.4539,24.8862,102.5462,23.8909,27.9468,2.5057,20.04,18.05,1,23.56,11,8.49,102.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03517,2.89E-06,5.21E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,62582.48,4.4829,24.9079,102.5531,23.8931,27.9513,2.5024,19.94,17.97,1,23.56,11,7.71,102.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.03595,2.86E-06,5.16E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.16E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,62582.48,4.5052,24.9135,102.5529,23.8943,27.9507,2.5036,20,18.1,1,23.56,11,7.73,102.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.05455,2.83E-06,5.10E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,62582.48,4.5343,24.9215,102.5505,23.9011,27.9497,2.5038,20.02,18.12,1,23.56,11,8.19,102.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.08859,2.78E-06,5.02E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,62582.48,4.5375,24.9229,102.5495,23.9049,27.9503,2.5035,20.01,18.01,1,23.56,11,7.74,102.711,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,18.09805,2.73E-06,4.93E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,62582.48,4.5316,24.9267,102.5505,23.9111,27.9492,2.5042,20.1,18.18,1,23.56,11,7.69,102.711,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0,0,0,18.09852,2.71E-06,4.91E-05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
